week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
2,"Saturday, September 07, 2019",LSU,45,6.0,away,#582C83,#462368,Texas,38,9.0,home,#CB6015,#a24c10,LSU,Texas,Southeastern,Big 12
2,"Saturday, September 07, 2019",Penn St.,45,15.0,home,#041E42,#031834,Buffalo,13,,away,#0057B8,#004593,Penn State,Buffalo,Big Ten,Mid-American
2,"Saturday, September 07, 2019",Auburn,24,10.0,home,#0C2340,#091c33,Tulane,6,,away,#006747,#005238,Auburn,Tulane,Southeastern,American Athletic Conference
2,"Saturday, September 07, 2019",Louisiana,35,,home,#C8102E,#a00c24,Liberty,14,,away,#A6192E,#841424,Louisiana-Lafayette,Liberty,Sun Belt,Independents(FBS)
2,"Saturday, September 07, 2019",Houston,37,,home,#C8102E,#a00c24,Prairie View,17,,away,#582C83,#462368,Houston,Prairie View,American Athletic Conference,
2,"Saturday, September 07, 2019",North Carolina,28,,home,#7BAFD4,#628ca9,Miami (FL),25,,away,#154734,#103829,North Carolina,Miami (FL),Atlantic Coast,Atlantic Coast
2,"Saturday, September 07, 2019",Texas Tech,38,,home,#DA291C,#ae2016,UTEP,3,,away,#041E42,#031834,Texas Tech,UTEP,Big 12,Conference USA
2,"Saturday, September 07, 2019",Tulsa,34,,away,#002D72,#00245b,San Jose St.,16,,home,#0032A0,#002880,Tulsa,San Jose State,American Athletic Conference,Mountain West
2,"Saturday, September 07, 2019",Arkansas St.,43,,away,#C8102E,#a00c24,UNLV,17,,home,#C8102E,#a00c24,Arkansas State,UNLV,Sun Belt,Mountain West
2,"Saturday, September 07, 2019",Southern California,45,,home,#9D2235,#7d1b2a,Stanford,20,23.0,away,#9D2235,#7d1b2a,USC,Stanford,Pac-12,Pac-12
2,"Saturday, September 07, 2019",California,20,,away,#041E42,#031834,Washington,19,14.0,home,#330072,#28005b,California,Washington,Pac-12,Pac-12
2,"Saturday, September 07, 2019",Minnesota,38,,away,#861F41,#6b1834,Fresno St.,35,,home,#D50032,#aa0028,Minnesota,Fresno State,Big Ten,Mountain West
